,bleu,precisions,brevity_penalty,length_ratio,translation_length,reference_length,id,file
18_6,0.0,"[0.030927835051546393, 0.010416666666666666, 0.0, 0.0]",1.0,16.166666666666668,97,6,18_6,18
18_7,0.0,"[0.25925925925925924, 0.038461538461538464, 0.0, 0.0]",0.9286029058931802,0.9310344827586207,27,29,18_7,18
18_8,0.0,"[0.14814814814814814, 0.0, 0.0, 0.0]",0.7716229467154109,0.7941176470588235,27,34,18_8,18
18_9,0.41113361690051975,"[0.5714285714285714, 0.5, 0.4, 0.25]",1.0,1.1666666666666667,7,6,18_9,18
18_10,0.0,"[0.391304347826087, 0.09090909090909091, 0.047619047619047616, 0.0]",0.9574533680683809,0.9583333333333334,23,24,18_10,18
18_11,0.0,"[0.3125, 0.13333333333333333, 0.0, 0.0]",0.5352614285189903,0.6153846153846154,16,26,18_11,18
18_12,0.0,"[0.29411764705882354, 0.0, 0.0, 0.0]",0.8890097654027757,0.8947368421052632,17,19,18_12,18
18_13,0.0,"[0.17647058823529413, 0.0, 0.0, 0.0]",0.7903383629814982,0.8095238095238095,17,21,18_13,18
19_0,0.0,"[0.20408163265306123, 0.0625, 0.02127659574468085, 0.0]",0.12220677201283016,0.3223684210526316,49,152,19_0,19
19_1,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.3333333333333333,8,6,19_1,19
19_2,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",0.36787944117144233,0.5,3,6,19_2,19
19_3,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.3333333333333333,8,6,19_3,19
19_4,0.0,"[0.3333333333333333, 0.2, 0.0, 0.0]",0.846481724890614,0.8571428571428571,6,7,19_4,19
19_5,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,19_5,19
19_6,0.14615051700655327,"[0.4827586206896552, 0.25, 0.14814814814814814, 0.07692307692307693]",0.7589176018322887,0.7837837837837838,29,37,19_6,19
19_7,0.0,"[0.34782608695652173, 0.18181818181818182, 0.047619047619047616, 0.0]",0.8777137332821822,0.8846153846153846,23,26,19_7,19
19_8,0.0,"[0.15384615384615385, 0.0, 0.0, 0.0]",0.5404329964865341,0.6190476190476191,13,21,19_8,19
19_9,0.7598356856515925,"[0.8333333333333334, 0.8, 0.75, 0.6666666666666666]",1.0,1.0,6,6,19_9,19
19_10,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.3333333333333333,8,6,19_10,19
19_11,0.0,"[0.25925925925925924, 0.038461538461538464, 0.0, 0.0]",0.8623033568332588,0.8709677419354839,27,31,19_11,19
19_12,0.0,"[0.00819672131147541, 0.0, 0.0, 0.0]",1.0,20.333333333333332,122,6,19_12,19
19_13,0.0,"[0.09302325581395349, 0.0, 0.0, 0.0]",1.0,2.15,43,20,19_13,19
20_0,0.037256232606304826,"[0.34375, 0.08421052631578947, 0.031914893617021274, 0.021505376344086023]",0.558035145770047,0.631578947368421,96,152,20_0,20
20_1,0.0,"[0.42857142857142855, 0.16666666666666666, 0.0, 0.0]",1.0,1.1666666666666667,7,6,20_1,20
20_2,0.0,"[0.3333333333333333, 0.0, 0.0, 0.0]",1.0,1.0,6,6,20_2,20
20_3,0.41113361690051975,"[0.5714285714285714, 0.5, 0.4, 0.25]",1.0,1.0,7,7,20_3,20
20_4,0.0,"[0.5, 0.2, 0.0, 0.0]",1.0,1.0,6,6,20_4,20
20_5,0.0,"[0.2, 0.0, 0.0, 0.0]",0.513417119032592,0.6,15,25,20_5,20
20_6,0.0,"[0.38461538461538464, 0.0, 0.0, 0.0]",0.6303131865967199,0.6842105263157895,13,19,20_6,20
20_7,0.0,"[0.125, 0.0, 0.0, 0.0]",1.0,1.1428571428571428,8,7,20_7,20
20_8,0.0,"[0.5, 0.4, 0.25, 0.0]",0.846481724890614,0.8571428571428571,6,7,20_8,20
20_9,0.2311085476125148,"[0.5789473684210527, 0.3888888888888889, 0.23529411764705882, 0.125]",0.8101577349324267,0.8260869565217391,19,23,20_9,20
20_10,0.0,"[0.38095238095238093, 0.15, 0.0, 0.0]",0.9534969548334766,0.9545454545454546,21,22,20_10,20
20_11,0.5169731539571706,"[0.625, 0.5714285714285714, 0.5, 0.4]",1.0,1.1428571428571428,8,7,20_11,20
20_12,0.0,"[0.14285714285714285, 0.0, 0.0, 0.0]",1.0,1.1666666666666667,7,6,20_12,20
20_13,0.0,"[0.16666666666666666, 0.05714285714285714, 0.029411764705882353, 0.0]",1.0,1.6363636363636365,36,22,20_13,20
