model,id,cer
gpt_refine_complex,8,0.6063829787234043
gpt_refine_complex,9,0.9816849816849816
gpt_refine_complex,4,0.751123595505618
gpt_refine_complex,5,0.7458791208791209
gpt_refine_complex,7,0.7587795048934945
gpt_refine_complex,6,0.6554267650158061
gpt_refine_complex,2,0.6687992125984252
gpt_refine_complex,3,0.6084710743801653
gpt_refine_complex,1,0.7395891171571349
gpt_refine_complex,18,0.7915800415800416
gpt_refine_complex,19,0.6060254924681344
EasyOCR,17,0.839911061700945
EasyOCR,16,0.8229226361031519
EasyOCR,14,0.8098325229605619
EasyOCR,15,0.8277875072971396
EasyOCR,11,0.898861352980576
EasyOCR,10,0.7921503593145384
EasyOCR,12,0.8345473465140478
EasyOCR,13,0.8005967180507211
EasyOCR,8,0.7915860735009671
EasyOCR,9,0.8498168498168498
EasyOCR,4,0.8893258426966292
EasyOCR,5,0.8008241758241759
EasyOCR,7,0.8762233736327001
EasyOCR,6,0.8008429926238145
EasyOCR,2,0.8125
EasyOCR,3,0.8140495867768595
EasyOCR,1,0.8778456413103831
EasyOCR,18,0.7910602910602911
EasyOCR,19,0.8041714947856315
